employee_number,arrive_time,rubbish_1,rubbish_2,rubbish_3,rubbish_4
7,28/03/2022 08:32,1,0,1,0
3,28/03/2022 08:52,1,0,1,0
12,28/03/2022 08:53,1,0,1,0
1,28/03/2022 08:55,1,0,1,0
10,28/03/2022 08:59,1,0,1,0
2,28/03/2022 09:07,1,0,1,0
13,28/03/2022 09:15,1,0,1,0
9,28/03/2022 09:17,1,0,1,0
8,28/03/2022 13:33,1,0,1,0
8,28/03/2022 17:59,1,0,1,0
7,28/03/2022 18:30,1,0,1,0
3,28/03/2022 18:45,1,0,1,0
14,29/03/2022 08:06,1,0,1,0
16,29/03/2022 08:06,1,0,1,0
7,29/03/2022 08:36,1,0,1,0
8,29/03/2022 08:36,1,0,1,0
10,29/03/2022 08:41,1,0,1,0
12,29/03/2022 08:42,1,0,1,0
3,29/03/2022 08:57,1,0,1,0
3,29/03/2022 09:03,1,0,1,0
2,29/03/2022 09:04,1,0,1,0
9,29/03/2022 09:10,1,0,1,0
1,29/03/2022 14:06,1,0,1,0
1,29/03/2022 17:34,1,0,1,0
12,30/03/2022 08:10,1,0,1,0
14,30/03/2022 08:10,1,0,1,0
8,30/03/2022 08:38,1,0,1,0
7,30/03/2022 08:51,1,0,1,0
10,30/03/2022 08:55,1,0,1,0
3,30/03/2022 08:58,1,0,1,0
2,30/03/2022 09:00,1,0,1,0
13,30/03/2022 09:01,1,0,1,0
9,30/03/2022 09:09,1,0,1,0
1,30/03/2022 13:48,1,0,1,0
3,30/03/2022 19:03,1,0,1,0
1,30/03/2022 19:49,1,0,1,0
14,31/03/2022 08:03,1,0,1,0
12,31/03/2022 08:36,1,0,1,0
12,31/03/2022 08:36,1,0,1,0
8,31/03/2022 08:46,1,0,1,0
10,31/03/2022 08:46,1,0,1,0
7,31/03/2022 08:51,1,0,1,0
3,31/03/2022 08:53,1,0,1,0
2,31/03/2022 08:56,1,0,1,0
1,31/03/2022 08:56,1,0,1,0
9,31/03/2022 08:59,1,0,1,0
13,31/03/2022 09:04,1,0,1,0
3,31/03/2022 18:02,1,0,1,0
1,31/03/2022 18:50,1,0,1,0
7,31/03/2022 19:18,1,0,1,0
14,1/04/2022 08:20,1,0,1,0
8,1/04/2022 08:20,1,0,1,0
3,1/04/2022 08:35,1,0,1,0
1,1/04/2022 08:43,1,0,1,0
13,1/04/2022 08:52,1,0,1,0
13,1/04/2022 08:52,1,0,1,0
12,1/04/2022 08:56,1,0,1,0
2,1/04/2022 08:59,1,0,1,0
9,1/04/2022 09:16,1,0,1,0
10,1/04/2022 18:09,1,0,1,0
1,1/04/2022 18:49,1,0,1,0
1,2/04/2022 08:33,1,0,1,0
3,2/04/2022 08:46,1,0,1,0
13,2/04/2022 09:02,1,0,1,0
7,2/04/2022 09:04,1,0,1,0
10,2/04/2022 09:06,1,0,1,0
2,2/04/2022 09:09,1,0,1,0
8,2/04/2022 09:12,1,0,1,0
14,4/04/2022 07:57,1,0,1,0
7,4/04/2022 08:29,1,0,1,0
12,4/04/2022 08:40,1,0,1,0
2,4/04/2022 08:47,1,0,1,0
3,4/04/2022 08:55,1,0,1,0
13,4/04/2022 09:14,1,0,1,0
10,4/04/2022 09:29,1,0,1,0
1,4/04/2022 09:32,1,0,1,0
7,4/04/2022 18:23,1,0,1,0
3,5/04/2022 11:15,1,0,1,0
2,5/04/2022 11:17,1,0,1,0
3,5/04/2022 12:50,1,0,1,0
14,6/04/2022 08:00,1,0,1,0
16,6/04/2022 08:01,1,0,1,0
8,6/04/2022 08:18,1,0,1,0
7,6/04/2022 08:32,1,0,1,0
12,6/04/2022 08:33,1,0,1,0
6,6/04/2022 08:33,1,0,1,0
9,6/04/2022 08:33,1,0,1,0
3,6/04/2022 08:45,1,0,1,0
2,6/04/2022 08:50,1,0,1,0
13,6/04/2022 09:03,1,0,1,0
1,6/04/2022 14:07,1,0,1,0
1,6/04/2022 18:05,1,0,1,0
6,6/04/2022 18:05,1,0,1,0
6,6/04/2022 18:05,1,0,1,0
3,6/04/2022 18:12,1,0,1,0
7,6/04/2022 18:13,1,0,1,0
14,7/04/2022 08:18,1,0,1,0
8,7/04/2022 08:26,1,0,1,0
3,7/04/2022 08:45,1,0,1,0
7,7/04/2022 08:46,1,0,1,0
10,7/04/2022 08:46,1,0,1,0
12,7/04/2022 08:47,1,0,1,0
13,7/04/2022 08:53,1,0,1,0
16,7/04/2022 08:54,1,0,1,0
1,7/04/2022 08:54,1,0,1,0
6,7/04/2022 09:08,1,0,1,0
2,7/04/2022 09:13,1,0,1,0
9,7/04/2022 09:24,1,0,1,0
14,8/04/2022 08:01,1,0,1,0
8,8/04/2022 08:22,1,0,1,0
16,8/04/2022 08:25,1,0,1,0
7,8/04/2022 08:44,1,0,1,0
12,8/04/2022 08:49,1,0,1,0
2,8/04/2022 08:49,1,0,1,0
1,8/04/2022 08:51,1,0,1,0
3,8/04/2022 08:58,1,0,1,0
6,8/04/2022 09:00,1,0,1,0
9,8/04/2022 09:09,1,0,1,0
13,8/04/2022 09:13,1,0,1,0
3,8/04/2022 09:13,1,0,1,0
8,8/04/2022 17:20,1,0,1,0
6,8/04/2022 18:05,1,0,1,0
14,9/04/2022 07:55,1,0,1,0
1,9/04/2022 08:30,1,0,1,0
12,9/04/2022 08:47,1,0,1,0
8,9/04/2022 09:05,1,0,1,0
7,9/04/2022 09:12,1,0,1,0
9,9/04/2022 09:12,1,0,1,0
2,9/04/2022 09:12,1,0,1,0
13,9/04/2022 09:13,1,0,1,0
16,9/04/2022 09:15,1,0,1,0
6,9/04/2022 09:19,1,0,1,0
8,9/04/2022 13:58,1,0,1,0
14,11/04/2022 08:10,1,0,1,0
7,11/04/2022 08:44,1,0,1,0
13,11/04/2022 08:48,1,0,1,0
10,11/04/2022 08:48,1,0,1,0
3,11/04/2022 08:55,1,0,1,0
12,11/04/2022 08:58,1,0,1,0
2,11/04/2022 09:03,1,0,1,0
1,11/04/2022 09:08,1,0,1,0
6,11/04/2022 09:10,1,0,1,0
9,11/04/2022 09:17,1,0,1,0
6,11/04/2022 18:10,1,0,1,0
1,11/04/2022 18:11,1,0,1,0
7,11/04/2022 18:20,1,0,1,0
14,12/04/2022 08:07,1,0,1,0
8,12/04/2022 08:15,1,0,1,0
3,12/04/2022 08:20,1,0,1,0
10,12/04/2022 08:31,1,0,1,0
12,12/04/2022 08:39,1,0,1,0
7,12/04/2022 08:43,1,0,1,0
6,12/04/2022 08:47,1,0,1,0
2,12/04/2022 08:57,1,0,1,0
9,12/04/2022 09:07,1,0,1,0
6,12/04/2022 18:14,1,0,1,0
7,12/04/2022 19:24,1,0,1,0
14,13/04/2022 08:22,1,0,1,0
